Estacao;Data;Hora;Evaporacao
83887;06/05/1996;0;3.6
83887;07/05/1996;0;3.1
83887;08/05/1996;0;3.8
83887;09/05/1996;0;2.8
83887;10/05/1996;0;2.8
83887;11/05/1996;0;1.6
83887;12/05/1996;0;2.6
83887;13/05/1996;0;3.8
83887;14/05/1996;0;4.6
83887;15/05/1996;0;3
83887;16/05/1996;0;2.6
83887;17/05/1996;0;3.4
83887;18/05/1996;0;2.5
83887;19/05/1996;0;1.7
83887;20/05/1996;0;2.5
83887;21/05/1996;0;1.8
83887;22/05/1996;0;2
83887;23/05/1996;0;1.2
83887;24/05/1996;0;1.7
83887;25/05/1996;0;2.7
83887;26/05/1996;0;1.8
83887;27/05/1996;0;2.4
83887;28/05/1996;0;2.7
83887;29/05/1996;0;3.2
83887;30/05/1996;0;3.1
83887;31/05/1996;0;1.6
83887;01/06/1996;0;0.4
83887;02/06/1996;0;1.5
83887;03/06/1996;0;2.1
83887;04/06/1996;0;2.3
83887;05/06/1996;0;2.7
83887;06/06/1996;0;1.2
83887;07/06/1996;0;2
83887;08/06/1996;0;4.2
83887;09/06/1996;0;4.5
83887;10/06/1996;0;4.6
83887;11/06/1996;0;3.3
83887;12/06/1996;0;2.8
83887;13/06/1996;0;3.7
83887;14/06/1996;0;3.2
83887;15/06/1996;0;4.3
83887;16/06/1996;0;4.4
83887;17/06/1996;0;0.9
83887;18/06/1996;0;0
83887;19/06/1996;0;0
83887;20/06/1996;0;0.8
83887;21/06/1996;0;1
83887;22/06/1996;0;0.4
83887;23/06/1996;0;0.9
83887;24/06/1996;0;1.4
83887;25/06/1996;0;1
83887;26/06/1996;0;2.2
83887;27/06/1996;0;1
83887;28/06/1996;0;0.3
83887;29/06/1996;0;0.6
83887;30/06/1996;0;0.2
83887;01/07/1996;0;1.7
83887;02/07/1996;0;2.7
83887;03/07/1996;0;1.4
83887;04/07/1996;0;1.9
83887;05/07/1996;0;3.2
83887;06/07/1996;0;2.5
83887;07/07/1996;0;1.7
83887;08/07/1996;0;0.6
83887;09/07/1996;0;0.6
83887;10/07/1996;0;1.1
83887;11/07/1996;0;2.3
83887;12/07/1996;0;1.7
83887;13/07/1996;0;1.9
83887;14/07/1996;0;4.6
83887;15/07/1996;0;2
83887;16/07/1996;0;2.4
83887;17/07/1996;0;3
83887;18/07/1996;0;3.6
83887;19/07/1996;0;5.6
83887;20/07/1996;0;3.1
83887;21/07/1996;0;0
83887;22/07/1996;0;1.3
83887;23/07/1996;0;5
83887;24/07/1996;0;3.2
83887;25/07/1996;0;3.1
83887;26/07/1996;0;2.5
83887;27/07/1996;0;0.7
83887;28/07/1996;0;0.5
83887;29/07/1996;0;2.6
83887;30/07/1996;0;3
83887;31/07/1996;0;5
83887;01/08/1996;0;9.4
83887;02/08/1996;0;5.4
83887;03/08/1996;0;7.3
83887;04/08/1996;0;6.9
83887;05/08/1996;0;5.4
83887;06/08/1996;0;4.2
83887;07/08/1996;0;4.9
83887;08/08/1996;0;0.9
83887;09/08/1996;0;1.3
83887;10/08/1996;0;0.2
83887;11/08/1996;0;2.5
83887;12/08/1996;0;3
83887;13/08/1996;0;3.2
83887;14/08/1996;0;2.6
83887;15/08/1996;0;1
83887;16/08/1996;0;1.8
83887;17/08/1996;0;4.5
83887;18/08/1996;0;9.7
83887;19/08/1996;0;7.9
83887;20/08/1996;0;5
83887;21/08/1996;0;4.6
83887;22/08/1996;0;4.2
83887;23/08/1996;0;5.6
83887;24/08/1996;0;5.8
83887;25/08/1996;0;5.2
83887;26/08/1996;0;6.5
83887;27/08/1996;0;3.9
83887;28/08/1996;0;0.5
83887;29/08/1996;0;0.2
83887;30/08/1996;0;0.9
83887;31/08/1996;0;0.3
83887;01/09/1996;0;0.2
83887;02/09/1996;0;1.6
83887;03/09/1996;0;3.3
83887;04/09/1996;0;0.9
83887;05/09/1996;0;3.5
83887;06/09/1996;0;4.3
83887;07/09/1996;0;3.6
83887;08/09/1996;0;5.1
83887;09/09/1996;0;0.8
83887;10/09/1996;0;2.7
83887;11/09/1996;0;1.6
83887;12/09/1996;0;3.6
83887;13/09/1996;0;4.1
83887;14/09/1996;0;5.4
83887;15/09/1996;0;2
83887;16/09/1996;0;3.4
83887;17/09/1996;0;1
83887;18/09/1996;0;2.9
83887;19/09/1996;0;5.1
83887;20/09/1996;0;4.2
83887;21/09/1996;0;4.6
83887;22/09/1996;0;5.4
83887;23/09/1996;0;2.6
83887;24/09/1996;0;2.6
83887;25/09/1996;0;0.6
83887;26/09/1996;0;0.9
83887;27/09/1996;0;1
83887;28/09/1996;0;0.8
83887;29/09/1996;0;0.6
83887;30/09/1996;0;0.9
83887;01/10/1996;0;4.5
83887;02/10/1996;0;3
83887;03/10/1996;0;1.2
83887;04/10/1996;0;1.7
83887;05/10/1996;0;3.2
83887;06/10/1996;0;1.9
83887;07/10/1996;0;4.6
83887;08/10/1996;0;5.3
83887;09/10/1996;0;7.2
83887;10/10/1996;0;3.1
83887;11/10/1996;0;1.8
83887;12/10/1996;0;1.3
83887;13/10/1996;0;2
83887;14/10/1996;0;0.3
83887;15/10/1996;0;0.9
83887;16/10/1996;0;4.6
83887;17/10/1996;0;4.7
83887;18/10/1996;0;2.9
